INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN
16;10.02.2020 0:00;1;0;106704;107615
17;10.02.2020 0:00;1;0;109171;109289
18;10.02.2020 0:00;1;0;108695;108459
19;10.02.2020 0:00;1;0;106758;107011
20;10.02.2020 0:00;1;0;104594;104500
21;10.02.2020 0:00;1;0;101018;101184
22;10.02.2020 0:00;1;0;96664;97004
23;10.02.2020 0:00;1;0;93012;93472
0;11.02.2020 0:00;1;0;90802;90596
1;11.02.2020 0:00;1;0;89822;89457
2;11.02.2020 0:00;1;0;89353;89229
3;11.02.2020 0:00;1;0;89484;90263
4;11.02.2020 0:00;1;0;91468;91977
5;11.02.2020 0:00;1;0;95442;95771
6;11.02.2020 0:00;1;0;100632;101316
7;11.02.2020 0:00;1;0;104371;105235
8;11.02.2020 0:00;1;0;107598;107993
9;11.02.2020 0:00;1;0;107998;108512
10;11.02.2020 0:00;1;0;107889;107857
11;11.02.2020 0:00;1;0;107101;106625
12;11.02.2020 0:00;1;0;106764;106551
13;11.02.2020 0:00;1;0;106811;106620
14;11.02.2020 0:00;1;0;106173;106348
15;11.02.2020 0:00;1;0;106021;106605
16;11.02.2020 0:00;1;0;106312;107091
17;11.02.2020 0:00;1;0;108407;108360
18;11.02.2020 0:00;1;0;107740;108123
19;11.02.2020 0:00;1;0;105921;106250
20;11.02.2020 0:00;1;0;103635;104028
21;11.02.2020 0:00;1;0;100164;100541
22;11.02.2020 0:00;1;0;95664;96080
23;11.02.2020 0:00;1;0;92077;92435
0;12.02.2020 0:00;1;0;89524;90100
1;12.02.2020 0:00;1;0;88607;88767
2;12.02.2020 0:00;1;0;88073;88169
3;12.02.2020 0:00;1;0;88036;88520
4;12.02.2020 0:00;1;0;90528;90830
5;12.02.2020 0:00;1;0;94794;94520
6;12.02.2020 0:00;1;0;100090;100433
7;12.02.2020 0:00;1;0;103636;104242
8;12.02.2020 0:00;1;0;106669;107067
9;12.02.2020 0:00;1;0;107096;107579
10;12.02.2020 0:00;1;0;107277;107101
11;12.02.2020 0:00;1;0;106351;106291
12;12.02.2020 0:00;1;0;106173;106006
13;12.02.2020 0:00;1;0;105488;106018
14;12.02.2020 0:00;1;0;105285;105885
15;12.02.2020 0:00;1;0;105507;105975
16;12.02.2020 0:00;1;0;105888;106096
17;12.02.2020 0:00;1;0;107368;108011
18;12.02.2020 0:00;1;0;107295;107603
19;12.02.2020 0:00;1;0;105349;105653
20;12.02.2020 0:00;1;0;103075;103246
21;12.02.2020 0:00;1;0;99420;99961
22;12.02.2020 0:00;1;0;95358;95800
23;12.02.2020 0:00;1;0;92055;92244
0;13.02.2020 0:00;1;0;89405;89897
1;13.02.2020 0:00;1;0;88056;88588
2;13.02.2020 0:00;1;0;87561;87909
3;13.02.2020 0:00;1;0;88444;88352
4;13.02.2020 0:00;1;0;90377;90355
5;13.02.2020 0:00;1;0;94465;94650
6;13.02.2020 0:00;1;0;99614;100250
7;13.02.2020 0:00;1;0;103318;103857
8;13.02.2020 0:00;1;0;106244;106875
9;13.02.2020 0:00;1;0;106968;107318
10;13.02.2020 0:00;1;0;106482;107173
11;13.02.2020 0:00;1;0;105522;106066
12;13.02.2020 0:00;1;0;105535;105844
13;13.02.2020 0:00;1;0;105067;105615
14;13.02.2020 0:00;1;0;104854;105423
15;13.02.2020 0:00;1;0;105118;105519
16;13.02.2020 0:00;1;0;105486;105867
17;13.02.2020 0:00;1;0;107434;107965
18;13.02.2020 0:00;1;0;107032;107462
19;13.02.2020 0:00;1;0;105215;105469
20;13.02.2020 0:00;1;0;102827;103201
21;13.02.2020 0:00;1;0;100155;100162
22;13.02.2020 0:00;1;0;95591;95817
23;13.02.2020 0:00;1;0;92333;92066
0;14.02.2020 0:00;1;0;89685;89689
1;14.02.2020 0:00;1;0;88653;88473
2;14.02.2020 0:00;1;0;87742;88030
3;14.02.2020 0:00;1;0;88630;88931
4;14.02.2020 0:00;1;0;90733;90816
5;14.02.2020 0:00;1;0;94461;94847
6;14.02.2020 0:00;1;0;100113;100080
7;14.02.2020 0:00;1;0;103270;104017
8;14.02.2020 0:00;1;0;106551;107130
9;14.02.2020 0:00;1;0;106799;107616
10;14.02.2020 0:00;1;0;106827;106971
11;14.02.2020 0:00;1;0;105410;105727
12;14.02.2020 0:00;1;0;104764;105430
13;14.02.2020 0:00;1;0;104540;105232
14;14.02.2020 0:00;1;0;104173;104590
15;14.02.2020 0:00;1;0;103926;104214
16;14.02.2020 0:00;1;0;103976;104687
17;14.02.2020 0:00;1;0;106142;106940
18;14.02.2020 0:00;1;0;106071;106377
19;14.02.2020 0:00;1;0;104483;104479
20;14.02.2020 0:00;1;0;101962;102174
21;14.02.2020 0:00;1;0;99452;99633
22;14.02.2020 0:00;1;0;95251;95453
23;14.02.2020 0:00;1;0;92379;92117
0;15.02.2020 0:00;1;0;90106;90095
1;15.02.2020 0:00;1;0;88786;88937
2;15.02.2020 0:00;1;0;87864;88104
3;15.02.2020 0:00;1;0;87829;88404
4;15.02.2020 0:00;1;0;88712;89313
5;15.02.2020 0:00;1;0;90794;91276
6;15.02.2020 0:00;1;0;93552;94029
7;15.02.2020 0:00;1;0;96538;96602
8;15.02.2020 0:00;1;0;100103;100277
9;15.02.2020 0:00;1;0;100854;101876
10;15.02.2020 0:00;1;0;100926;102228
11;15.02.2020 0:00;1;0;100568;101540
12;15.02.2020 0:00;1;0;99617;100837
13;15.02.2020 0:00;1;0;99259;99498
14;15.02.2020 0:00;1;0;98884;99178
15;15.02.2020 0:00;1;0;99579;99939
16;15.02.2020 0:00;1;0;100122;101166
17;15.02.2020 0:00;1;0;102932;103443
18;15.02.2020 0:00;1;0;102894;103528
19;15.02.2020 0:00;1;0;101831;101981
20;15.02.2020 0:00;1;0;100036;99988
21;15.02.2020 0:00;1;0;97492;97547
22;15.02.2020 0:00;1;0;94341;93994
23;15.02.2020 0:00;1;0;91467;91247
0;16.02.2020 0:00;1;0;88952;89100
1;16.02.2020 0:00;1;0;87862;87768
2;16.02.2020 0:00;1;0;86781;87140
3;16.02.2020 0:00;1;0;87036;87090
4;16.02.2020 0:00;1;0;87689;87779
5;16.02.2020 0:00;1;0;89031;89711
6;16.02.2020 0:00;1;0;91332;92050
7;16.02.2020 0:00;1;0;93518;94344
8;16.02.2020 0:00;1;0;96732;97009
9;16.02.2020 0:00;1;0;98930;98947
10;16.02.2020 0:00;1;0;99375;99630
11;16.02.2020 0:00;1;0;99073;99561
12;16.02.2020 0:00;1;0;98662;98918
13;16.02.2020 0:00;1;0;97951;98719
14;16.02.2020 0:00;1;0;98248;98903
15;16.02.2020 0:00;1;0;99216;99290
16;16.02.2020 0:00;1;0;99825;100564
17;16.02.2020 0:00;1;0;102257;103280
18;16.02.2020 0:00;1;0;103171;103299
19;16.02.2020 0:00;1;0;101970;101885
20;16.02.2020 0:00;1;0;100457;100061
21;16.02.2020 0:00;1;0;96959;97624
22;16.02.2020 0:00;1;0;93138;94058
23;16.02.2020 0:00;1;0;90113;90536
0;17.02.2020 0:00;1;0;88125;88437
1;17.02.2020 0:00;1;0;86918;87106
2;17.02.2020 0:00;1;0;86896;86658
3;17.02.2020 0:00;1;0;87179;87346
4;17.02.2020 0:00;1;0;89248;89163
5;17.02.2020 0:00;1;0;93434;93419
6;17.02.2020 0:00;1;0;98896;99058
7;17.02.2020 0:00;1;0;102279;102837
8;17.02.2020 0:00;1;0;105777;106078
9;17.02.2020 0:00;1;0;106379;106801
10;17.02.2020 0:00;1;0;105569;106238
11;17.02.2020 0:00;1;0;104794;104868
12;17.02.2020 0:00;1;0;104316;104697
13;17.02.2020 0:00;1;0;104435;104518
14;17.02.2020 0:00;1;0;103782;103855
15;17.02.2020 0:00;1;0;103200;104292
16;17.02.2020 0:00;1;0;103251;104465
17;17.02.2020 0:00;1;0;105243;106210
18;17.02.2020 0:00;1;0;105405;105877
19;17.02.2020 0:00;1;0;103788;104190
20;17.02.2020 0:00;1;0;101834;101902
21;17.02.2020 0:00;1;0;98350;99003
22;17.02.2020 0:00;1;0;93615;94308
23;17.02.2020 0:00;1;0;90324;90905
0;18.02.2020 0:00;1;0;88303;88430
1;18.02.2020 0:00;1;0;87345;87099
2;18.02.2020 0:00;1;0;86814;86460
3;18.02.2020 0:00;1;0;86916;87378
4;18.02.2020 0:00;1;0;88683;89324
5;18.02.2020 0:00;1;0;92876;93105
6;18.02.2020 0:00;1;0;98219;98081
7;18.02.2020 0:00;1;0;101271;101742
8;18.02.2020 0:00;1;0;104377;104780
9;18.02.2020 0:00;1;0;104924;105463
10;18.02.2020 0:00;1;0;104408;104742
11;18.02.2020 0:00;1;0;103613;103802
12;18.02.2020 0:00;1;0;102950;103232
13;18.02.2020 0:00;1;0;102827;103242
14;18.02.2020 0:00;1;0;102193;102872
15;18.02.2020 0:00;1;0;102384;102663
16;18.02.2020 0:00;1;0;102240;102718
17;18.02.2020 0:00;1;0;103992;105004
18;18.02.2020 0:00;1;0;104647;104987
19;18.02.2020 0:00;1;0;102621;103112
20;18.02.2020 0:00;1;0;100225;100979
21;18.02.2020 0:00;1;0;96810;97817
22;18.02.2020 0:00;1;0;92597;93353
23;18.02.2020 0:00;1;0;89060;89948
0;19.02.2020 0:00;1;0;87400;87912
1;19.02.2020 0:00;1;0;85794;86446
2;19.02.2020 0:00;1;0;85380;85960
3;19.02.2020 0:00;1;0;85743;86382
4;19.02.2020 0:00;1;0;87824;88135
5;19.02.2020 0:00;1;0;91599;92389
6;19.02.2020 0:00;1;0;96962;97835
7;19.02.2020 0:00;1;0;100106;100819
8;19.02.2020 0:00;1;0;103533;104100
9;19.02.2020 0:00;1;0;104078;104881
10;19.02.2020 0:00;1;0;103410;104074
11;19.02.2020 0:00;1;0;102525;102985
12;19.02.2020 0:00;1;0;102452;102796
13;19.02.2020 0:00;1;0;102500;102535
14;19.02.2020 0:00;1;0;101608;102348
15;19.02.2020 0:00;1;0;101502;102431
16;19.02.2020 0:00;1;0;101863;102437
17;19.02.2020 0:00;1;0;103619;104268
18;19.02.2020 0:00;1;0;103919;104733
19;19.02.2020 0:00;1;0;101886;102644
20;19.02.2020 0:00;1;0;100125;100744
21;19.02.2020 0:00;1;0;96415;97068
22;19.02.2020 0:00;1;0;92332;92978
23;19.02.2020 0:00;1;0;88911;89314
0;20.02.2020 0:00;1;0;86864;87298
1;20.02.2020 0:00;1;0;85756;85870
2;20.02.2020 0:00;1;0;84634;85357
3;20.02.2020 0:00;1;0;85221;85906
4;20.02.2020 0:00;1;0;87334;87943
5;20.02.2020 0:00;1;0;91288;91740
6;20.02.2020 0:00;1;0;96019;97093
7;20.02.2020 0:00;1;0;99437;100584
8;20.02.2020 0:00;1;0;102497;103489
9;20.02.2020 0:00;1;0;102906;104107
10;20.02.2020 0:00;1;0;102685;103188
11;20.02.2020 0:00;1;0;101973;102004
12;20.02.2020 0:00;1;0;101812;101826
13;20.02.2020 0:00;1;0;101068;101697
14;20.02.2020 0:00;1;0;100546;101551
15;20.02.2020 0:00;1;0;100667;101514
16;20.02.2020 0:00;1;0;101207;101885
17;20.02.2020 0:00;1;0;102702;103218
18;20.02.2020 0:00;1;0;103995;104212
19;20.02.2020 0:00;1;0;102143;102304
