INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
9;13.11.2020 0:00:00;1;0;101089
10;13.11.2020 0:00:00;1;0;100929
11;13.11.2020 0:00:00;1;0;100099
12;13.11.2020 0:00:00;1;0;100177
13;13.11.2020 0:00:00;1;0;100281
14;13.11.2020 0:00:00;1;0;100400
15;13.11.2020 0:00:00;1;0;100746
16;13.11.2020 0:00:00;1;0;102243
17;13.11.2020 0:00:00;1;0;102159
18;13.11.2020 0:00:00;1;0;101067
19;13.11.2020 0:00:00;1;0;98944
20;13.11.2020 0:00:00;1;0;97362
21;13.11.2020 0:00:00;1;0;94647
22;13.11.2020 0:00:00;1;0;90564
23;13.11.2020 0:00:00;1;0;87757
0;14.11.2020 0:00:00;1;0;85035
1;14.11.2020 0:00:00;1;0;83404
2;14.11.2020 0:00:00;1;0;82890
3;14.11.2020 0:00:00;1;0;83005
4;14.11.2020 0:00:00;1;0;83733
5;14.11.2020 0:00:00;1;0;85637
6;14.11.2020 0:00:00;1;0;88168
7;14.11.2020 0:00:00;1;0;91418
8;14.11.2020 0:00:00;1;0;95074
9;14.11.2020 0:00:00;1;0;97069
10;14.11.2020 0:00:00;1;0;97118
11;14.11.2020 0:00:00;1;0;96914
12;14.11.2020 0:00:00;1;0;96607
13;14.11.2020 0:00:00;1;0;96762
14;14.11.2020 0:00:00;1;0;97225
15;14.11.2020 0:00:00;1;0;98517
16;14.11.2020 0:00:00;1;0;100512
17;14.11.2020 0:00:00;1;0;100632
18;14.11.2020 0:00:00;1;0;99266
19;14.11.2020 0:00:00;1;0;97244
20;14.11.2020 0:00:00;1;0;95725
21;14.11.2020 0:00:00;1;0;92961
22;14.11.2020 0:00:00;1;0;89586
23;14.11.2020 0:00:00;1;0;87172
0;15.11.2020 0:00:00;1;0;84640
1;15.11.2020 0:00:00;1;0;83211
2;15.11.2020 0:00:00;1;0;82627
3;15.11.2020 0:00:00;1;0;82694
4;15.11.2020 0:00:00;1;0;83384
5;15.11.2020 0:00:00;1;0;85024
6;15.11.2020 0:00:00;1;0;86903
7;15.11.2020 0:00:00;1;0;89288
8;15.11.2020 0:00:00;1;0;92763
9;15.11.2020 0:00:00;1;0;94728
